mode_name,usageInWh_mean,usageInWh_std,usageInWh_min,usageInWh_max,total_tokens_mean,total_tokens_std,total_tokens_min,total_tokens_max,energy_per_token_mean,energy_per_token_std,energy_per_token_min,energy_per_token_max,tokens_per_wh_mean,tokens_per_wh_std,tokens_per_wh_min,tokens_per_wh_max,response_length_mean,response_length_std,response_length_min,response_length_max,numberOfInputTokens_mean,numberOfInputTokens_std,numberOfOutputTokens_mean,numberOfOutputTokens_std
Balanced,0.6517,0.6595,0.0401,2.3735,3001.5088,4024.9912,35.0,15833.0,0.0003,0.0002,0.0001,0.0011,3678.9197,1315.1041,872.818,6724.4296,1506.1207,1343.4457,0,4827,1468.9298,2964.6364,1532.5789,1340.0591
Energy Efficient,0.3723,0.3285,0.0323,2.8977,1766.6923,1318.0865,36.0,9868.0,0.0002,0.0001,0.0001,0.0009,4835.5613,1037.6938,1115.2416,9160.7872,1378.4615,940.2683,33,4616,387.9167,814.1887,1378.7756,940.3925
Performance,1.3772,0.8163,0.1048,4.3793,3525.0,2342.464,182.0,9976.0,0.0004,0.0001,0.0002,0.0006,2518.2304,773.5108,1572.327,5607.3852,2273.875,1305.8539,129,8202,1249.9583,1526.5297,2275.0417,1304.8945
